Year,State,District,Mine_Name,Mine_Type,Place_of_Operation,Accident_Type,Machinery_Involved,Injured,Death,Worker_Age,Worker_Experience_Years,Training_Level,Shift,Safety_Compliance_Score
2015,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Face,Gas leakage,Excavator,7,0,28,3–5 years,Basic,Afternoon,41
2015,Chhattisgarh,Korba,Gevra Coal Mine,Opencast,Workshop,Side fall,Dumper,2,0,34,5–10 years,Certified,Morning,87
2015,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Side fall,Truck,5,0,18,<1 year,Intermediate,Afternoon,58
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Face,Gas leakage,Excavator,5,0,32,5–10 years,Basic,Morning,72
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Stockyard,Fire,Dumper,2,0,34,3–5 years,Intermediate,Morning,86
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Excavation Area,Explosion,Loader,6,0,28,5–10 years,None,Morning,44
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Shaft,Electrical accident,Truck,4,0,28,<1 year,Certified,Night,55
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Shaft,Electrical accident,None,3,0,36,5–10 years,Intermediate,Afternoon,100
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Face,Blasting accident,None,7,0,28,<1 year,Advanced,Night,50
2015,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Opencast,Excavation Area,Roof fall,Loader,4,0,25,1–3 years,Advanced,Night,73
2015,Gujarat,Kutch,Panandhro Lignite Mine,Opencast,Workshop,Explosion,Loader,4,0,46,10+ years,Intermediate,Afternoon,80
2015,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Excavation Area,Side fall,Drill,7,0,24,1–3 years,Basic,Morning,50
2015,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Workshop,Machinery collision,Drill,3,0,29,3–5 years,None,Night,59
2015,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Excavation Area,Gas leakage,Excavator,4,1,36,1–3 years,Intermediate,Afternoon,55
2015,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Face,Roof fall,None,6,0,30,5–10 years,Advanced,Night,64
2015,Jharkhand,Giridih,Giridih Coalfield,Underground,Workshop,Vehicle rollover,Excavator,5,0,35,3–5 years,Intermediate,Night,63
2015,Jharkhand,Ramgarh,Central Coal Mine,Underground,Face,Fall of person,Loader,6,0,31,3–5 years,Basic,Afternoon,62
2015,Jharkhand,Ramgarh,Central Coal Mine,Underground,Haul Road,Fall of person,Heavy Earth Moving Machinery,3,0,20,3–5 years,Advanced,Night,90
2015,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Stockyard,Fall of person,Loader,2,0,21,<1 year,Advanced,Night,75
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Workshop,Gas leakage,Drill,4,0,29,1–3 years,Intermediate,Afternoon,95
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Excavation Area,Side fall,Excavator,4,0,33,1–3 years,Basic,Morning,53
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Workshop,Machinery collision,Truck,5,0,32,5–10 years,Intermediate,Night,68
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Stockyard,Side fall,Heavy Earth Moving Machinery,9,0,21,<1 year,Intermediate,Night,52
2015,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Haul Road,Blasting accident,Truck,5,0,18,<1 year,Advanced,Night,68
2015,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Underground,Stockyard,Electrical accident,Excavator,4,0,35,5–10 years,None,Afternoon,59
2015,Madhya Pradesh,Umaria,Umaria Coal Mine,Underground,Workshop,Fall of person,Truck,4,0,26,3–5 years,Basic,Morning,67
2015,Madhya Pradesh,Umaria,Umaria Coal Mine,Opencast,Haul Road,Blasting accident,Dumper,4,0,47,10+ years,Intermediate,Morning,78
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Excavation Area,Fall of person,Dumper,7,0,38,3–5 years,Basic,Night,50
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Workshop,Fire,Heavy Earth Moving Machinery,6,0,34,3–5 years,Basic,Night,37
2015,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Haul Road,Vehicle rollover,Truck,3,0,20,1–3 years,None,Afternoon,55
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Roof fall,Drill,8,0,30,1–3 years,Intermediate,Morning,74
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Haul Road,Blasting accident,Heavy Earth Moving Machinery,5,0,34,3–5 years,Basic,Afternoon,55
2015,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Excavation Area,Machinery collision,Dumper,4,0,36,3–5 years,Basic,Afternoon,88
2015,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Excavation Area,Blasting accident,Excavator,5,0,32,3–5 years,Basic,Morning,68
2015,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Haul Road,Vehicle rollover,Dumper,5,0,43,10+ years,Advanced,Morning,66
2015,Odisha,Angul,Talcher Coal Mine,Underground,Stockyard,Gas leakage,Dumper,6,0,18,<1 year,Advanced,Night,49
2015,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Machinery collision,Truck,5,0,33,5–10 years,Advanced,Morning,90
2015,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Fire,Heavy Earth Moving Machinery,3,0,30,5–10 years,None,Morning,70
2015,Odisha,Angul,Talcher Coal Mine,Underground,Excavation Area,Fall of person,Loader,3,0,36,1–3 years,Advanced,Morning,70
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Side fall,None,8,0,23,3–5 years,Intermediate,Afternoon,57
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Opencast,Haul Road,Machinery collision,Truck,3,0,45,10+ years,Intermediate,Morning,72
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Haul Road,Vehicle rollover,Truck,5,1,33,5–10 years,Basic,Morning,69
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Fall of person,Heavy Earth Moving Machinery,7,0,28,<1 year,Intermediate,Afternoon,61
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Stockyard,Vehicle rollover,Dumper,5,0,25,<1 year,Intermediate,Afternoon,49
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Roof fall,Excavator,6,0,44,10+ years,Intermediate,Afternoon,70
2015,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Face,Side fall,Dumper,4,0,18,<1 year,Certified,Morning,80
2015,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Face,Fire,None,4,0,24,<1 year,Intermediate,Afternoon,53
2015,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Excavation Area,Side fall,Dumper,4,0,34,5–10 years,Certified,Night,82
2015,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Workshop,Roof fall,Dumper,6,0,24,1–3 years,None,Night,56
2015,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Stockyard,Fire,Truck,5,0,39,5–10 years,Intermediate,Afternoon,71
2015,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Excavation Area,Roof fall,Loader,5,0,34,3–5 years,Intermediate,Afternoon,85
2015,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Vehicle rollover,Dumper,3,0,30,3–5 years,Basic,Morning,91
2015,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,0,32,3–5 years,Intermediate,Night,69
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Face,Gas leakage,Heavy Earth Moving Machinery,9,0,22,<1 year,None,Night,35
