Year,State,District,Mine_Name,Mine_Type,Place_of_Operation,Accident_Type,Machinery_Involved,Injured,Death,Worker_Age,Worker_Experience_Years,Training_Level,Shift,Safety_Compliance_Score,Risk_Score,Risk_Level
2015,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Face,Gas leakage,Excavator,7,0,28,3–5 years,Basic,Afternoon,41,106.58685661204493,Very High
2015,Chhattisgarh,Korba,Gevra Coal Mine,Opencast,Workshop,Side fall,Dumper,2,0,34,5–10 years,Certified,Morning,87,40.64694279531526,Moderate
2015,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Side fall,Truck,5,0,18,<1 year,Intermediate,Afternoon,58,104.39075415240276,Very High
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Face,Gas leakage,Excavator,5,0,32,5–10 years,Basic,Morning,72,86.29211942563211,Very High
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Stockyard,Fire,Dumper,2,0,34,3–5 years,Intermediate,Morning,86,54.66338650110666,Moderate
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Excavation Area,Explosion,Loader,6,0,28,5–10 years,,Morning,44,,Very High
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Shaft,Electrical accident,Truck,4,0,28,<1 year,Certified,Night,55,101.31685126202956,Very High
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Shaft,Electrical accident,,3,0,36,5–10 years,Intermediate,Afternoon,100,,Very High
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Face,Blasting accident,,7,0,28,<1 year,Advanced,Night,50,,Very High
2015,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Opencast,Excavation Area,Roof fall,Loader,4,0,25,1–3 years,Advanced,Night,73,73.97024017434386,High
2015,Gujarat,Kutch,Panandhro Lignite Mine,Opencast,Workshop,Explosion,Loader,4,0,46,10+ years,Intermediate,Afternoon,80,59.14632922875015,Moderate
2015,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Excavation Area,Side fall,Drill,7,0,24,1–3 years,Basic,Morning,50,87.13708098571897,Very High
2015,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Workshop,Machinery collision,Drill,3,0,29,3–5 years,,Night,59,,Very High
2015,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Excavation Area,Gas leakage,Excavator,4,1,36,1–3 years,Intermediate,Afternoon,55,95.3468790213688,Very High
2015,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Face,Roof fall,,6,0,30,5–10 years,Advanced,Night,64,,Very High
2015,Jharkhand,Giridih,Giridih Coalfield,Underground,Workshop,Vehicle rollover,Excavator,5,0,35,3–5 years,Intermediate,Night,63,81.55084988303611,High
2015,Jharkhand,Ramgarh,Central Coal Mine,Underground,Face,Fall of person,Loader,6,0,31,3–5 years,Basic,Afternoon,62,84.1486755186623,High
2015,Jharkhand,Ramgarh,Central Coal Mine,Underground,Haul Road,Fall of person,Heavy Earth Moving Machinery,3,0,20,3–5 years,Advanced,Night,90,81.25698933038109,High
2015,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Stockyard,Fall of person,Loader,2,0,21,<1 year,Advanced,Night,75,59.36790369791515,Moderate
