Year,State,District,Mine_Name,Mine_Type,Place_of_Operation,Accident_Type,Machinery_Involved,Injured,Death,Worker_Age,Worker_Experience_Years,Training_Level,Shift,Safety_Compliance_Score,Risk_Score,Risk_Level,Pre_Accident_Risk_Score,Pre_Accident_Risk_Level
2015,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Face,Gas leakage,Excavator,7,0,28,3–5 years,Basic,Afternoon,41,106.58685661204493,Very High,84.49342830602247,Very High
2015,Chhattisgarh,Korba,Gevra Coal Mine,Opencast,Workshop,Side fall,Dumper,2,0,34,5–10 years,Certified,Morning,87,40.64694279531526,Moderate,28.22347139765763,Low
2015,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Side fall,Truck,5,0,18,<1 year,Intermediate,Afternoon,58,104.39075415240276,Very High,94.29537707620139,Very High
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Face,Gas leakage,Excavator,5,0,32,5–10 years,Basic,Morning,72,86.29211942563211,Very High,63.04605971281605,Moderate
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Stockyard,Fire,Dumper,2,0,34,3–5 years,Intermediate,Morning,86,54.66338650110666,Moderate,39.53169325055333,Low
2015,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Excavation Area,Explosion,Loader,6,0,28,5–10 years,None,Morning,44,,Very High,79.53172608610164,High
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Shaft,Electrical accident,Truck,4,0,28,<1 year,Certified,Night,55,101.31685126202956,Very High,89.65842563101478,Very High
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Shaft,Electrical accident,None,3,0,36,5–10 years,Intermediate,Afternoon,100,,Very High,42.53486945830582,Low
2015,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Face,Blasting accident,None,7,0,28,<1 year,Advanced,Night,50,,Very High,74.0610512281301,High
2015,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Opencast,Excavation Area,Roof fall,Loader,4,0,25,1–3 years,Advanced,Night,73,73.97024017434386,High,55.58512008717193,Moderate
2015,Gujarat,Kutch,Panandhro Lignite Mine,Opencast,Workshop,Explosion,Loader,4,0,46,10+ years,Intermediate,Afternoon,80,59.14632922875015,Moderate,37.073164614375074,Low
2015,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Excavation Area,Side fall,Drill,7,0,24,1–3 years,Basic,Morning,50,87.13708098571897,Very High,72.06854049285948,High
2015,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Workshop,Machinery collision,Drill,3,0,29,3–5 years,None,Night,59,,Very High,61.98392454313207,Moderate
2015,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Excavation Area,Gas leakage,Excavator,4,1,36,1–3 years,Intermediate,Afternoon,55,95.3468790213688,Very High,70.6734395106844,High
2015,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Face,Roof fall,None,6,0,30,5–10 years,Advanced,Night,64,,Very High,55.550164334973935,Low
2015,Jharkhand,Giridih,Giridih Coalfield,Underground,Workshop,Vehicle rollover,Excavator,5,0,35,3–5 years,Intermediate,Night,63,81.55084988303611,High,68.37542494151805,High
2015,Jharkhand,Ramgarh,Central Coal Mine,Underground,Face,Fall of person,Loader,6,0,31,3–5 years,Basic,Afternoon,62,84.1486755186623,High,73.97433775933115,High
2015,Jharkhand,Ramgarh,Central Coal Mine,Underground,Haul Road,Fall of person,Heavy Earth Moving Machinery,3,0,20,3–5 years,Advanced,Night,90,81.25698933038109,High,75.62849466519054,High
2015,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Stockyard,Fall of person,Loader,2,0,21,<1 year,Advanced,Night,75,59.36790369791515,Moderate,52.68395184895758,Low
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Workshop,Gas leakage,Drill,4,0,29,1–3 years,Intermediate,Afternoon,95,63.35078519465883,High,45.67539259732942,Low
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Excavation Area,Side fall,Excavator,4,0,33,1–3 years,Basic,Morning,53,78.66259507568621,High,62.43129753784311,Moderate
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Workshop,Machinery collision,Truck,5,0,32,5–10 years,Intermediate,Night,68,72.89689479805385,High,57.54844739902693,Moderate
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Stockyard,Side fall,Heavy Earth Moving Machinery,9,0,21,<1 year,Intermediate,Night,52,114.4701128187517,Very High,94.13505640937585,Very High
2015,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Haul Road,Blasting accident,Truck,5,0,18,<1 year,Advanced,Night,68,86.10100725514617,Very High,71.15050362757309,High
2015,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Underground,Stockyard,Electrical accident,Excavator,4,0,35,5–10 years,None,Afternoon,59,,Very High,71.41123455094963,High
2015,Madhya Pradesh,Umaria,Umaria Coal Mine,Underground,Workshop,Fall of person,Truck,4,0,26,3–5 years,Basic,Morning,67,79.64369035883946,High,70.72184517941973,High
2015,Madhya Pradesh,Umaria,Umaria Coal Mine,Opencast,Haul Road,Blasting accident,Dumper,4,0,47,10+ years,Intermediate,Morning,78,60.19602569031078,High,41.6980128451554,Low
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Excavation Area,Fall of person,Dumper,7,0,38,3–5 years,Basic,Night,50,103.5027920733827,Very High,89.75139603669135,Very High
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Workshop,Fire,Heavy Earth Moving Machinery,6,0,34,3–5 years,Basic,Night,37,111.79744524032478,Very High,97.2987226201624,Very High
2015,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Haul Road,Vehicle rollover,Truck,3,0,20,1–3 years,None,Afternoon,55,,Very High,83.91661250041345,Very High
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Roof fall,Drill,8,0,30,1–3 years,Intermediate,Morning,74,77.99317355108242,High,56.79658677554121,Moderate
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Haul Road,Blasting accident,Heavy Earth Moving Machinery,5,0,34,3–5 years,Basic,Afternoon,55,116.40911273803574,Very High,95.20455636901788,Very High
2015,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Excavation Area,Machinery collision,Dumper,4,0,36,3–5 years,Basic,Afternoon,88,77.74601110104827,High,64.97300555052414,Moderate
2015,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Excavation Area,Blasting accident,Excavator,5,0,32,3–5 years,Basic,Morning,68,66.5691562841764,High,46.8845781420882,Low
2015,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Haul Road,Vehicle rollover,Dumper,5,0,43,10+ years,Advanced,Morning,66,78.89017964841275,High,62.64508982420638,Moderate
2015,Odisha,Angul,Talcher Coal Mine,Underground,Stockyard,Gas leakage,Dumper,6,0,18,<1 year,Advanced,Night,49,100.51662540011591,Very High,87.05831270005795,Very High
2015,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Machinery collision,Truck,5,0,33,5–10 years,Advanced,Morning,90,58.83545438001902,Moderate,40.41772719000951,Low
2015,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Fire,Heavy Earth Moving Machinery,3,0,30,5–10 years,None,Morning,70,,Very High,61.08065975224045,Moderate
2015,Odisha,Angul,Talcher Coal Mine,Underground,Excavation Area,Fall of person,Loader,3,0,36,1–3 years,Advanced,Morning,70,62.68725580440628,High,58.34362790220314,Moderate
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Side fall,None,8,0,23,3–5 years,Intermediate,Afternoon,57,,Very High,64.89372247173824,Moderate
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Opencast,Haul Road,Machinery collision,Truck,3,0,45,10+ years,Intermediate,Morning,72,65.15386631998165,High,51.47693315999082,Low
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Haul Road,Vehicle rollover,Truck,5,1,33,5–10 years,Basic,Morning,69,101.08547312475989,Very High,73.84273656237994,High
