Feature,Importance
categorical__Machinery_Involved_nan,2.400669318963164
categorical__Training_Level_nan,1.8571436725252497
categorical__Machinery_Involved_Drill,1.2370280524245854
categorical__Machinery_Involved_Excavator,1.1010784396122828
categorical__Training_Level_Certified,0.8963306924692184
categorical__Mine_Type_Underground,0.8857874692814284
categorical__Mine_Type_Opencast,0.8778023297746621
categorical__Training_Level_Advanced,0.846682256486797
numerical__Death,0.8154855194214926
categorical__Accident_Type_Gas leakage,0.7687025211588615
categorical__Machinery_Involved_Heavy Earth Moving Machinery,0.6913338520812076
categorical__Shift_Morning,0.630275718804644
categorical__Place_of_Operation_Haul Road,0.5423921621079122
categorical__Worker_Experience_Years_10+ years,0.5258744277333957
categorical__Shift_Night,0.5030466301394859
categorical__Machinery_Involved_Loader,0.46345937363106443
categorical__Worker_Experience_Years_1–3 years,0.4570738392349119
categorical__Training_Level_Basic,0.4354691579301105
categorical__Place_of_Operation_Stockyard,0.40445437686140995
categorical__Machinery_Involved_Truck,0.3913185567320936
categorical__Place_of_Operation_Workshop,0.3771138691536791
categorical__Worker_Experience_Years_<1 year,0.35763976324878916
numerical__Injured,0.3422698526484657
categorical__Accident_Type_Roof fall,0.3248762425838641
categorical__Training_Level_Intermediate,0.3144999444104808
categorical__District_Peddapalli,0.2984606378279559
categorical__Mine_Name_Singareni Coal Mine,0.2984606378279559
categorical__Accident_Type_Fall of person,0.2956400051667338
categorical__Accident_Type_Machinery collision,0.2929108120376049
categorical__District_Singrauli,0.2858547193374958
categorical__Mine_Name_Nigahi Coal Mine,0.2858547193374958
categorical__Machinery_Involved_Dumper,0.28422701210964735
categorical__District_Mancherial,0.27208778111922866
categorical__Mine_Name_Bellampalli Coal Mine,0.27208778111922866
categorical__District_Cuddalore,0.2703459531506876
categorical__Mine_Name_Neyveli Lignite Mine,0.2703459531506876
categorical__Mine_Name_Jharia Coalfields,0.2642724127204747
categorical__District_Dhanbad,0.2642724127204747
categorical__Accident_Type_Electrical accident,0.23939343595237603
categorical__Worker_Experience_Years_3–5 years,0.2302449073020185
categorical__Accident_Type_Explosion,0.2255294325287691
categorical__Mine_Name_Wani Coal Mine,0.21564651471343235
categorical__District_Yavatmal,0.21564651471343235
categorical__Mine_Name_Ib Valley Coal Mine,0.20121287995617684
categorical__District_Jharsuguda,0.20121287995617684
categorical__District_Shahdol,0.20099367704313398
categorical__Mine_Name_Sohagpur Coal Mine,0.20099367704313398
categorical__Mine_Name_Basundhara Coal Mine,0.19339612002299478
categorical__District_Sundargarh,0.19339612002299478
categorical__Place_of_Operation_Shaft,0.19321237770707
categorical__District_Ramgarh,0.18763120244316964
categorical__Mine_Name_Central Coal Mine,0.18763120244316964
categorical__District_Raigarh,0.1840000020395504
categorical__Mine_Name_Raigarh Coal Mine,0.1840000020395504
categorical__Mine_Name_Umrer Coal Mine,0.18379091289550598
categorical__District_Nagpur,0.18379091289550598
categorical__State_Uttar Pradesh,0.18150161565499678
categorical__Mine_Name_Raniganj Coal Mine,0.17827684588053785
categorical__District_Paschim Bardhaman,0.17827684588053785
categorical__Mine_Name_Giridih Coalfield,0.175341512163658
categorical__District_Giridih,0.175341512163658
categorical__State_Chhattisgarh,0.17006241609127346
categorical__Shift_Afternoon,0.15951833111768096
categorical__Mine_Name_Bokaro Coal Mine,0.15845446671055113
categorical__District_Bokaro,0.15845446671055113
categorical__State_Tamil Nadu,0.15690263985290653
categorical__Mine_Name_Kothagudem Coal Mine,0.15510415719064974
categorical__District_Bhadradri Kothagudem,0.15510415719064974
categorical__Mine_Name_Bhavnagar Lignite Mine,0.13666513423572335
categorical__District_Bhavnagar,0.13666513423572335
categorical__State_Jharkhand,0.13286909116118525
categorical__District_Angul,0.12889909498781768
categorical__Mine_Name_Talcher Coal Mine,0.12889909498781768
categorical__Mine_Name_Chandrapur Coal Mine,0.12505164738753852
categorical__District_Chandrapur,0.12505164738753852
categorical__District_Kutch,0.12320466606010833
categorical__Mine_Name_Panandhro Lignite Mine,0.12320466606010833
categorical__Worker_Experience_Years_5–10 years,0.12142011189777709
categorical__Mine_Name_Gevra Coal Mine,0.11802227377797063
categorical__District_Korba,0.11802227377797063
categorical__District_Koriya,0.11783660250615846
categorical__Mine_Name_Chirimiri Coal Mine,0.11783660250615846
categorical__State_Telangana,0.11735250687917605
categorical__Mine_Name_Lignite Mine,0.1148483885444717
categorical__District_Ariyalur,0.1148483885444717
categorical__Accident_Type_Fire,0.11340410615208758
categorical__Mine_Name_Purulia Coal Mine,0.1083243479445068
categorical__District_Purulia,0.1083243479445068
categorical__District_Umaria,0.10547260793014883
categorical__Mine_Name_Umaria Coal Mine,0.10547260793014883
categorical__Mine_Name_Singrauli Coal Mine,0.10162326177547021
categorical__District_Sonbhadra,0.10162326177547021
categorical__Place_of_Operation_Excavation Area,0.09994536699723693
categorical__Mine_Name_Bishrampur Coal Mine,0.09502878015668258
categorical__District_Surguja,0.09502878015668258
categorical__State_Maharashtra,0.09319604556966686
categorical__State_Odisha,0.08010208709942605
categorical__Mine_Name_Obra Coal Mine,0.0798783538795354
categorical__District_Mirzapur,0.0798783538795354
categorical__Accident_Type_Side fall,0.07798442380521031
numerical__Safety_Compliance_Score,0.07519891826564533
categorical__State_West Bengal,0.06606200415047442
categorical__Accident_Type_Vehicle rollover,0.06478080804701279
categorical__District_Bankura,0.06312398586684757
categorical__Mine_Name_Bankura Coal Mine,0.06312398586684757
categorical__State_Madhya Pradesh,0.043874414472648914
categorical__Accident_Type_Blasting accident,0.0429390468189571
categorical__District_Betul,0.022843293839166043
categorical__Mine_Name_Pathakhera Coal Mine,0.022843293839166043
categorical__Place_of_Operation_Face,0.020443516371810366
categorical__State_Gujarat,0.019274344166520373
numerical__Worker_Age,0.0010063521811488159
