Feature,Importance
categorical__Machinery_Involved_None,1.8858212251009656
categorical__Mine_Type_Opencast,1.7938964012751697
categorical__Mine_Type_Underground,1.7839645421577575
categorical__Machinery_Involved_Heavy Earth Moving Machinery,1.7659295439522542
categorical__Machinery_Involved_Truck,1.3165249741278469
categorical__Training_Level_None,1.118304081004007
categorical__Shift_Morning,1.0884622545056133
categorical__Machinery_Involved_Drill,1.0560939641661007
categorical__Shift_Night,1.0554397524385402
categorical__Place_of_Operation_Haul Road,1.0546041367682377
categorical__Training_Level_Certified,1.0009253657242172
categorical__Worker_Experience_Years_<1 year,0.8290921448563602
categorical__Worker_Experience_Years_10+ years,0.7707965199830905
categorical__Training_Level_Advanced,0.7620649001203343
categorical__Training_Level_Basic,0.6871187902975385
categorical__Place_of_Operation_Workshop,0.5703860021364899
categorical__Machinery_Involved_Excavator,0.5073076352142117
categorical__Machinery_Involved_Dumper,0.5007810848755814
categorical__Place_of_Operation_Stockyard,0.4747130395195782
categorical__Worker_Experience_Years_5–10 years,0.4644127739512235
categorical__Worker_Experience_Years_1–3 years,0.42506288150167415
categorical__Place_of_Operation_Shaft,0.3077186423066902
categorical__Machinery_Involved_Loader,0.27349170741333845
categorical__Mine_Name_Obra Coal Mine,0.26762701370511244
categorical__District_Mirzapur,0.26762701370511244
categorical__Place_of_Operation_Excavation Area,0.2608134969374998
categorical__Mine_Name_Bankura Coal Mine,0.25997180970894207
categorical__District_Bankura,0.25997180970894207
categorical__District_Surguja,0.25080381892593684
categorical__Mine_Name_Bishrampur Coal Mine,0.25080381892593684
categorical__District_Paschim Bardhaman,0.23809053368530703
categorical__Mine_Name_Raniganj Coal Mine,0.23809053368530703
categorical__Mine_Name_Singrauli Coal Mine,0.23775040084770865
categorical__District_Sonbhadra,0.23775040084770865
categorical__Place_of_Operation_Face,0.22626149393249875
categorical__State_Maharashtra,0.2237131648815281
categorical__District_Giridih,0.21648027273455472
categorical__Mine_Name_Giridih Coalfield,0.21648027273455472
categorical__State_Telangana,0.2129810086931538
categorical__Mine_Name_Umrer Coal Mine,0.20106620233384181
categorical__District_Nagpur,0.20106620233384181
categorical__Training_Level_Intermediate,0.19644458952065055
categorical__Mine_Name_Jharia Coalfields,0.19493211041777175
categorical__District_Dhanbad,0.19493211041777175
categorical__District_Koriya,0.17395913831721546
categorical__Mine_Name_Chirimiri Coal Mine,0.17395913831721546
categorical__Mine_Name_Panandhro Lignite Mine,0.1708583730680681
categorical__District_Kutch,0.1708583730680681
categorical__District_Korba,0.17078551906044515
categorical__Mine_Name_Gevra Coal Mine,0.17078551906044515
categorical__Mine_Name_Bhavnagar Lignite Mine,0.16551921105842235
categorical__District_Bhavnagar,0.16551921105842235
numerical__Safety_Compliance_Score,0.1637390574070967
categorical__State_West Bengal,0.1618447354376907
categorical__Mine_Name_Singareni Coal Mine,0.15297537792347796
categorical__District_Peddapalli,0.15297537792347796
categorical__State_Uttar Pradesh,0.15012993572760167
categorical__Mine_Name_Chandrapur Coal Mine,0.14312255089892595
categorical__District_Chandrapur,0.14312255089892595
categorical__District_Singrauli,0.1421327365878627
categorical__Mine_Name_Nigahi Coal Mine,0.1421327365878627
categorical__State_Jharkhand,0.14004498338450047
categorical__District_Betul,0.13916420493243478
categorical__Mine_Name_Pathakhera Coal Mine,0.13916420493243478
categorical__State_Gujarat,0.13850346487295898
categorical__State_Tamil Nadu,0.1379587812559112
categorical__Mine_Name_Central Coal Mine,0.13466227665630648
categorical__District_Ramgarh,0.13466227665630648
categorical__Worker_Experience_Years_3–5 years,0.13330481060693625
categorical__District_Sundargarh,0.129364440728446
categorical__Mine_Name_Basundhara Coal Mine,0.129364440728446
categorical__Mine_Name_Ib Valley Coal Mine,0.12108102180851567
categorical__District_Jharsuguda,0.12108102180851567
categorical__Mine_Name_Talcher Coal Mine,0.11711855201149125
categorical__District_Angul,0.11711855201149125
categorical__Mine_Name_Bokaro Coal Mine,0.11193019817107469
categorical__District_Bokaro,0.11193019817107469
categorical__State_Madhya Pradesh,0.11157674105326598
categorical__District_Raigarh,0.10872371927146995
categorical__Mine_Name_Raigarh Coal Mine,0.10872371927146995
categorical__State_Chhattisgarh,0.09667288208076705
categorical__Mine_Name_Purulia Coal Mine,0.09287640022365942
categorical__District_Purulia,0.09287640022365942
categorical__District_Bhadradri Kothagudem,0.08838456396613192
categorical__Mine_Name_Kothagudem Coal Mine,0.08838456396613192
categorical__District_Cuddalore,0.07655350546244913
categorical__Mine_Name_Neyveli Lignite Mine,0.07655350546244913
categorical__District_Umaria,0.07645291496265548
categorical__Mine_Name_Umaria Coal Mine,0.07645291496265548
categorical__Shift_Afternoon,0.07100594195912963
categorical__Mine_Name_Wani Coal Mine,0.06234537929461623
categorical__District_Yavatmal,0.06234537929461623
categorical__Mine_Name_Lignite Mine,0.06210068442396577
categorical__District_Ariyalur,0.06210068442396577
categorical__District_Shahdol,0.04427751581301481
categorical__Mine_Name_Sohagpur Coal Mine,0.04427751581301481
categorical__State_Odisha,0.042667010756812736
numerical__Worker_Age,0.03792148683718125
categorical__District_Mancherial,0.0056304315494639275
categorical__Mine_Name_Bellampalli Coal Mine,0.0056304315494639275
